Class Name,Class Type,Available,Demand,Schedule
EEE 151 THR,1,35,14,TTh 8:30-10AM lec TBA
EEE 151 THU,1,35,28,TTh 10-11:30AM lec TBA
EEE 151 THX,1,35,26,TTh 2:30-4PM lec TBA
EEE 151 WFR,1,30,30,WF 8:30-10AM lec TBA
EEE 151 WFU,1,30,8,WF 10-11:30AM lec TBA
EEE 151 WFW-1,1,30,28,WF 1-2:30PM lec TBA
EEE 151 WFW-2,1,30,12,WF 1-2:30PM lec TBA
EEE 151 WFX,1,35,35,WF 2:30-4PM lec TBA
EEE 151 WFY,1,35,15,WF 4-5:30PM lec TBA
EEE 153 THR,2,26,10,TTh 8:30-10AM lec TBA
EEE 153 THU1,2,26,22,TTh 10-11:30AM lec TBA
EEE 153 THU2,2,26,9,TTh 10-11:30AM lec TBA
EEE 153 THW,2,26,22,TTh 1-2:30PM lec TBA
EEE 153 WFU,2,26,6,WF 10-11:30AM lec TBA
EEE 153 WFW,2,26,2,WF 1-2:30PM lec TBA
EEE 153 WFX1,2,26,16,WF 2:30-4PM lec TBA
EEE 153 WFX2,2,26,12,WF 2:30-4PM lec TBA
EEE 153 WFY1,2,26,17,WF 4-5:30PM lec TBA
EEE 153 WFY2,2,26,0,WF 4-5:30PM lec TBA
EEE 157 THW,3,33,5,TTh 1-2:30PM lec TBA
EEE 157 THX,3,33,16,TTh 2:30-4PM lec TBA
EEE 157 THY,3,33,24,TTh 4-5:30PM lec TBA
EEE 157 THZ,3,33,27,TTh 5:30-7PM lec TBA
EEE 157 WFY,3,33,32,WF 4-5:30PM lec TBA
EEE 157 WFZ,3,33,8,WF 5:30-7PM lec TBA
EEE 158 FXY,4,19,12,F 2:30-5:30PM lab TBA
EEE 158 HXY1,4,19,3,Th 2:30-5:30PM lab TBA
EEE 158 HXY2,4,19,7,Th 2:30-5:30PM lab TBA
EEE 158 SCDE1,4,19,0,S 9AM-12PM lab TBA
EEE 158 SCDE2,4,19,3,S 9AM-12PM lab TBA
EEE 158 SKLN,4,19,7,S 1:30-4:30PM lab TBA
EEE 158 SLNO,4,19,11,S 4:30-7:30PM lab TBA
EEE 158 SWX,4,19,18,S 1-4PM lab TBA
EEE 158 TVW,4,19,15,T 11:30AM-2:30PM lab TBA
EEE 158 TXY1,4,19,13,T 2:30-5:30PM lab TBA
EEE 158 TXY2,4,19,5,T 2:30-5:30PM lab TBA
EEE 158 WXY,4,19,16,W 2:30-5:30PM lab TBA
EEE 145 SWX,5,30,29,S 1-4PM lec TBA
EEE 145 THR,5,30,16,TTh 8:30-10AM lec TBA
EEE 145 THU,5,30,5,TTh 10-11:30AM lec TBA
EEE 145 THW,5,30,17,TTh 1-2:30PM lec TBA
EEE 145 THX,5,30,20,TTh 2:30-4PM lec TBA
EEE 145 WFR,5,30,17,WF 8:30-10AM lec TBA
EEE 145 WFU,5,30,1,WF 10-11:30AM lec TBA
EEE 145 WFW,5,30,1,WF 1-2:30PM lec TBA
EEE 145 WFX,5,30,12,WF 2:30-4PM lec TBA
Math 40 THV,6,25,4,TTh 11:30AM-1PM lec TBA
Math 40 THW,6,25,23,TTh 11:30AM-1PM lec TBA
Math 40 THW-1,6,25,15,TTh 1-2:30PM lec TBA
Math 40 THW-2,6,25,14,TTh 1-2:30PM lec TBA
Math 40 WFU,6,25,12,WF 10-11:30AM lec TBA
Math 40 WFV,6,25,7,WF 11:30AM-1PM lec TBA
Math 40 WFW,6,25,13,WF 1-2:30PM lec TBA
